,Random State,Model,MSE,RMSE
0,352,[Stacking] Average,348.2163879428,18.6605570105
0,404,[Stacking] Average,357.4161819423,18.9054537619
0,403,[Stacking] Average,461.1160921858,21.4736138595
0,1000,[Stacking] Average,443.9982712577,21.0712664844
0,319,[Stacking] Average,360.4613827998,18.9858205722
0,319,[Stacking] Average,369.5092025148,19.222622155
0,810,[Stacking] Average,250.68935127505878,15.833172495588457
0,109,[Stacking] Average,334.4081044466624,18.286828714860935
0,109,[Stacking] Average,333.4755040855887,18.261311674838385
0,2017,[Stacking] Average,823.2423088130357,28.69219944188726
0,1203,[Stacking] Average,629.8202129655889,25.096219097019155
0,99,[Stacking] Average,1236.8486557381236,35.168859175954566
0,1,[Stacking] Average,285.08541203346994,16.884472512739922
0,1,[Stacking] Average,302.81258215244173,17.40151091579239
0,0,[Stacking] Average,326.24074228981533,18.062135596042218
0,1,[Stacking] Average,320.947654161165,17.915011977700853
