,Random State,Model,MSE,RMSE
0,352,[Stacking] Linear Regression,400.4783184084132,20.0119543875258
0,404,[Stacking] Linear Regression,441.8063002426934,21.019188857867313
0,403,[Stacking] Linear Regression,406.1234597883947,20.152505049953337
0,1000,[Stacking] Linear Regression,377.5375487345878,19.43032549224505
0,319,[Stacking] Linear Regression,489.361003515666,22.121505453193414
0,319,[Stacking] Linear Regression,560.6617504461666,23.678297034334346
0,810,[Stacking] Linear Regression,376.7132590765556,19.409102479933367
0,109,[Stacking] Linear Regression,344.92373292258196,18.572122466820584
0,109,[Stacking] Linear Regression,291.1425011236902,17.06289837992626
0,2017,[Stacking] Linear Regression,805.7589984952893,28.385894357854735
0,1203,[Stacking] Linear Regression,615.9561561502132,24.818464016739902
0,99,[Stacking] Linear Regression,784.4684208334126,28.008363408692993
0,1,[Stacking] Linear Regression,583.1992748315153,24.14951914286318
0,1,[Stacking] Linear Regression,568.3777682428172,23.840674659975903
0,0,[Stacking] Linear Regression,745.1142862511316,27.29678160976366
0,1,[Stacking] Linear Regression,582.0633759537387,24.125989636774253
0,101,[Stacking] Linear Regression,608.2580141864361,24.662887385430686
0,103,[Stacking] Linear Regression,553.1404160381974,23.51893739177426
0,1,[Stacking] Linear Regression,546.3578464590021,23.37429884422209
