,Random State,Model,MSE,RMSE
0,352,[Stacking] Neural Network,375.87614076873325,19.387525390537423
0,404,[Stacking] Neural Network,459.01046924821674,21.424529615564882
0,403,[Stacking] Neural Network,500.34797823813983,22.368459451605958
0,1000,[Stacking] Neural Network,385.8673458881447,19.643506456031336
0,319,[Stacking] Neural Network,627.9161959393448,25.058256043454914
0,319,[Stacking] Neural Network,680.2001952366651,26.080647906765375
0,810,[Stacking] Neural Network,433.02165934866804,20.80917248111198
0,109,[Stacking] Neural Network,318.27046381738955,17.840136317231142
0,109,[Stacking] Neural Network,301.5058182086641,17.36392289226902
0,2017,[Stacking] Neural Network,783.765770467358,27.995817017321677
0,1203,[Stacking] Neural Network,693.6033774853413,26.33635087640923
0,99,[Stacking] Neural Network,814.9985312451573,28.548179123109716
0,1,[Stacking] Neural Network,541.1799796465766,23.263275342190674
0,1,[Stacking] Neural Network,761.5038344572553,27.595358929668865
0,0,[Stacking] Neural Network,784.4091428399472,28.007305169186612
0,1,[Stacking] Neural Network,585.27756845762,24.19251058608056
0,101,[Stacking] Neural Network,538.7169838735823,23.21027754839615
0,103,[Stacking] Neural Network,596.2306128090978,24.41783390903251
0,1,[Stacking] Neural Network,505.83003477260485,22.490665503106058
