,Random State,Model,MSE,RMSE
0,352,Elastic Net,301.9713090239,17.3773216873
0,404,Elastic Net,298.6546208795,17.281626685
0,403,Elastic Net,353.1999304608,18.7936140873
0,1000,Elastic Net,390.5039474849,19.7611727254
0,319,Elastic Net,254.461264318,15.9518420353
0,319,Elastic Net,254.461264318,15.9518420353
0,810,Elastic Net,267.1013491022632,16.343235576294653
0,109,Elastic Net,241.78714762553273,15.54950634668293
0,109,Elastic Net,241.78714762553273,15.54950634668293
0,2017,Elastic Net,792.3951571331319,28.14951433210051
0,1203,Elastic Net,352.5429165760653,18.776126239884128
0,99,Elastic Net,897.1559183517832,29.95256113175939
0,1,Elastic Net,355.5373154077092,18.855697160479355
0,1,Elastic Net,355.5373154077092,18.855697160479355
0,0,Elastic Net,304.01313211187266,17.43597235923115
0,1,Elastic Net,355.5373154077092,18.855697160479355
0,101,Elastic Net,615.0042986991863,24.799280205263745
0,103,Elastic Net,274.8836001065776,16.57961399148296
