,Random State,Model,MSE,RMSE
0,352,Random Forest,625.30191869,25.0060376447
0,404,Random Forest,654.0578480781,25.5745546995
0,403,Random Forest,731.5076479334,27.0463980584
0,1000,Random Forest,625.1334512861,25.0026688833
0,319,Random Forest,656.1292049245,25.6150191279
0,319,Random Forest,690.2942920365,26.2734522291
0,810,Random Forest,464.3055870477296,21.547751322301117
0,109,Random Forest,540.7659044383544,23.254373877581706
0,109,Random Forest,520.5922183092082,22.816490052354858
0,2017,Random Forest,874.191973212053,29.566737615300966
0,1203,Random Forest,837.9141722583613,28.94674717923175
0,99,Random Forest,1329.5945634263344,36.46360601238356
0,1,Random Forest,602.8810703734281,24.55363660180357
0,1,Random Forest,537.719170982102,23.18877251995245
