,Random State,Model,MSE,RMSE
0,352,Ridge,311.2428765417,17.6420768772
0,404,Ridge,306.512093224,17.5074867763
0,403,Ridge,447.8667987952,21.1628636719
0,1000,Ridge,402.3821954885,20.0594664807
0,319,Ridge,268.498924313,16.3859367847
0,319,Ridge,268.498924313,16.3859367847
0,810,Ridge,310.64382172998836,17.625090687142247
0,109,Ridge,290.9115215573804,17.05612856299402
0,109,Ridge,290.9115215573804,17.05612856299402
0,2017,Ridge,857.7992575449754,29.28821021409426
0,1203,Ridge,363.5121262839953,19.06599397576731
0,99,Ridge,904.2238169311903,30.070314546595455
0,1,Ridge,360.70625052615463,18.992268177501987
0,1,Ridge,360.70625052615463,18.992268177501987
0,0,Ridge,347.7505731995217,18.64807156784641
0,1,Ridge,360.70625052615463,18.992268177501987
0,101,Ridge,712.4790083514567,26.692302417578308
0,103,Ridge,348.679110769232,18.672951313845168
0,1,Ridge,360.70625052615463,18.992268177501987
