,Random State,Model,MSE,RMSE
0,352,Gradient Boosting,469.5298902954,21.6686384043
0,404,Gradient Boosting,569.0694013443,23.8551755672
0,403,Gradient Boosting,473.1946181669,21.7530369872
0,1000,Gradient Boosting,600.0535723707,24.4959909449
0,319,Gradient Boosting,766.6320437443,27.6881209862
0,319,Gradient Boosting,766.6320437443,27.6881209862
0,810,Gradient Boosting,295.94094307381295,17.20293414141358
0,109,Gradient Boosting,396.3411737934979,19.908319210659094
0,109,Gradient Boosting,396.3411737934979,19.908319210659094
0,2017,Gradient Boosting,731.3403510836351,27.04330510650714
0,1203,Gradient Boosting,572.776843564121,23.932756706324515
0,99,Gradient Boosting,1216.2089213238107,34.87418703459352
0,1,Gradient Boosting,413.02278899220454,20.322962111665824
0,1,Gradient Boosting,413.02278899220454,20.322962111665824
0,0,Gradient Boosting,470.8741723107047,21.69963530363367
0,1,Gradient Boosting,413.02278899220454,20.322962111665824
0,101,Gradient Boosting,534.558103243734,23.12051260771988
0,103,Gradient Boosting,569.6111830110859,23.8665285077467
0,1,Gradient Boosting,413.02278899220454,20.322962111665824
